@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FX,FREQ,Country or Index type,Frequency
daily,FED,H10,Foreign Exchange Rates,JRXWTFB_N.B,Nominal Broad Dollar Index – Business day,2015-12-03,2015-12-03,111.6407,111.6407,BRD,9,Nominal Broad Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFB_N.B,Nominal Broad Dollar Index – Business day,2015-12-04,2015-12-04,111.5463,111.5463,BRD,9,Nominal Broad Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFB_N.B,Nominal Broad Dollar Index – Business day,2015-12-07,2015-12-07,112.3056,112.3056,BRD,9,Nominal Broad Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFB_N.B,Nominal Broad Dollar Index – Business day,2015-12-08,2015-12-08,112.5485,112.5485,BRD,9,Nominal Broad Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFB_N.B,Nominal Broad Dollar Index – Business day,2015-12-09,2015-12-09,112.1918,112.1918,BRD,9,Nominal Broad Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFB_N.B,Nominal Broad Dollar Index – Business day,2015-12-10,2015-12-10,112.2672,112.2672,BRD,9,Nominal Broad Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFB_N.B,Nominal Broad Dollar Index – Business day,2015-12-11,2015-12-11,112.7147,112.7147,BRD,9,Nominal Broad Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFB_N.B,Nominal Broad Dollar Index – Business day,2015-12-14,2015-12-14,112.7521,112.7521,BRD,9,Nominal Broad Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFB_N.B,Nominal Broad Dollar Index – Business day,2015-12-15,2015-12-15,112.8609,112.8609,BRD,9,Nominal Broad Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFB_N.B,Nominal Broad Dollar Index – Business day,2015-12-16,2015-12-16,112.9864,112.9864,BRD,9,Nominal Broad Dollar Index,Business day
