Open,High,Low,Close,Volume,Dividends,Stock Splits
1039.8310968373387,1051.593892050431,1039.0469104897993,1049.2413330078125,3330700,0.0,0.0
1072.7667518587361,1072.7667518587361,1050.0253514172864,1054.73046875,7160800,0.0,0.0
1051.5938521793912,1053.9464111328125,1051.5938521793912,1053.9464111328125,7663300,0.0,0.0
1056.2989568157677,1061.0040746634995,1050.0254663521255,1055.5147705078125,5620400,0.0,0.0
1060.2198390237793,1077.4719369960596,1058.6514664808446,1075.903564453125,8811200,0.0,0.0
1092.3714581918025,1137.0700749304476,1090.803085674657,1136.285888671875,16663200,0.0,0.0
1121.3861594004175,1155.1061627949755,1119.8177871495077,1144.9117431640625,15051300,0.0,0.0
1160.595734647353,1215.4887761509442,1155.106430496994,1214.70458984375,20349200,0.0,0.0
1239.014090042458,1242.9350207071495,1211.567575389619,1217.841064453125,20697800,0.0,0.0
1195.0997882629156,1210.7835125183344,1194.3156020501447,1202.941650390625,11070500,0.0,0.0
1197.4522393774316,1198.2364255197874,1162.9480491137729,1171.5740966796875,9502200,0.0,0.0
1184.1214298976129,1187.2581754072755,1151.1856020461562,1159.0274658203125,7131000,0.0,0.0
1144.1278383744325,1213.1362343833084,1141.7752794195844,1198.2366943359375,13033800,0.0,0.0
1173.1426345399652,1187.2579870945904,1162.164026997479,1180.9844970703125,10732700,0.0,0.0
1175.495001077652,1214.7043073177338,1168.4373259544373,1204.5098876953125,11474200,0.0,0.0
1175.4951609817977,1214.7044725555734,1140.990966796875,1140.990966796875,11543900,0.0,0.0
1146.480188073645,1148.048560423951,1115.896927242679,1121.38623046875,8141900,0.0,0.0
1137.8542975596624,1163.7324449197376,1122.9547581705285,1146.4803466796875,8086700,0.0,0.0
1130.7968885633682,1137.8545667860244,1111.9764133029514,1115.1131591796875,7646900,0.0,0.0
1116.6809537669742,1137.0697914059779,1102.5656046322792,1126.0911865234375,8418900,0.0,0.0
1135.5017387087466,1148.0487192469648,1130.7966210069148,1146.4803466796875,6535400,0.0,0.0
1161.3798329048416,1177.8477441074085,1150.4012254364636,1152.7537841796875,6673500,0.0,0.0
1156.674442981943,1163.7321175492905,1114.3283955778584,1126.0911865234375,7195000,0.0,0.0
1090.802972026255,1111.1918126248765,1082.9611102575543,1091.587158203125,10397400,0.0,0.0
1044.53610280432,1050.0254066478863,1024.1472599567883,1033.5574951171875,16739400,0.0,0.0
1032.773148740571,1039.8308240167025,1015.5210536211387,1023.3629150390625,12665300,0.0,0.0
1039.8307946777343,1041.3991669170673,1017.8735833270733,1019.4419555664062,9816600,0.0,0.0
1032.7732653303863,1034.3416377910246,1019.4420994149599,1024.147216796875,7979500,0.0,0.0
1023.3633632569516,1027.2842956832235,990.4275308762681,992.7800903320312,11596500,0.0,0.0
1002.9740887698354,1014.7368810540789,999.8373441607038,1006.89501953125,6422000,0.0,0.0
1019.4419332069925,1031.2047247439964,1012.3842582847902,1029.6363525390625,11213200,0.0,0.0
1024.147216796875,1029.6365204091094,1017.8737269543215,1024.147216796875,7706900,0.0,0.0
1032.7730833335884,1038.2623859784896,1000.6214535563088,1001.4056396484375,9416000,0.0,0.0
1017.0898572769632,1035.1261461878116,1016.3056708025786,1022.5791625976562,7868100,0.0,0.0
1023.3630305665558,1026.4997754878327,1005.3267472692143,1024.147216796875,7661700,0.0,0.0
1004.542464706924,1006.8950231722797,988.0745554494333,999.0531616210938,13262600,0.0,0.0
999.8373193359375,1002.189877734375,967.685687890625,980.232666015625,11922400,0.0,0.0
964.5491612237474,981.0170737324456,962.9807886038715,968.4700927734375,10054800,0.0,0.0
970.0383950039685,990.4272375828716,967.6858362448643,984.1537475585938,6076000,0.0,0.0
998.2693411484066,1001.4060869179224,984.1539851855854,991.995849609375,7706500,0.0,0.0
984.1536841231786,987.290428933133,973.1750772883383,977.0960083007812,8518900,0.0,0.0
977.0960759051833,989.643056013115,973.1751446214546,976.3118896484375,9211200,0.0,0.0
985.7221368989262,997.4849308953335,984.1537643660719,996.7007446289062,8125900,0.0,0.0
1027.284077510819,1027.284077510819,1015.5212827301608,1024.9315185546875,13270600,0.0,0.0
1030.4207666674474,1050.8096098435158,1027.284021563437,1046.1044921875,12288700,0.0,0.0
1048.4571934907083,1057.8674300815,1041.3995160476145,1043.7520751953125,7917900,0.0,0.0
1050.8099365234375,1053.1624960828183,1039.0471387265334,1050.8099365234375,5629600,0.0,0.0
1057.08292449178,1057.8671106375455,1043.751760013768,1052.3778076171875,10934200,0.0,0.0
1052.3779956714527,1055.514740815034,1039.0468288112331,1044.5361328125,6039200,0.0,0.0
1043.751657104492,1046.888401378285,1035.1256103515625,1035.1256103515625,4711700,0.0,0.0
1040.6150090493823,1054.7303595866006,1039.0466367674692,1053.1619873046875,6866600,0.0,0.0
1058.6514393904033,1070.4142331614078,1048.4570181221993,1050.025390625,9495600,0.0,0.0
1059.4355710924633,1071.1983642578125,1051.5937089822303,1071.1983642578125,7829600,0.0,0.0
1073.5509228908825,1079.8244125790686,1069.6299918357658,1071.1983642578125,5203200,0.0,0.0
1075.9036665482954,1085.3139026988636,1071.1985484730112,1078.2562255859375,7546300,0.0,0.0
1090.8030571221786,1099.4291057406863,1077.4718910753943,1081.392822265625,11759100,0.0,0.0
1093.9400576061373,1108.839599609375,1090.019125500022,1108.839599609375,10656700,0.0,0.0
1104.9044980537765,1117.4960023051015,1102.543591006653,1113.5611572265625,5525800,5.0,0.0
1125.3657465949343,1132.4484680770004,1115.9221179521796,1131.6614990234375,6222300,0.0,0.0
