Open,High,Low,Close,Volume,Dividends,Stock Splits
186950.12904575892,188190.94848632812,184882.09664481026,185295.703125,344060,0.0,0.0
185295.6786516854,187363.71077949437,183227.64652387638,184054.859375,540092,0.0,0.0
185709.2850772472,187777.31720505617,183227.64652387638,184054.859375,359711,0.0,0.0
184468.50528169016,184882.11179577466,176196.375,176196.375,633411,0.0,0.0
177023.58955439815,179505.22866030093,172473.91786024306,178678.015625,433288,0.0,0.0
179918.7918005257,182400.43030811916,177023.546875,177023.546875,381334,0.0,0.0
181573.2149760158,184054.8534494921,178677.97009029344,183227.640625,535505,0.0,0.0
181573.21662095844,183227.64228493074,179091.57812500003,179091.578125,344871,0.0,0.0
180332.40069444446,186950.10347222222,179505.18784722223,186122.890625,600224,0.0,0.0
188190.93457461454,190672.57327230176,185295.68942731278,187777.328125,424246,0.0,0.0
188604.55048076922,194395.04106570513,186950.12459935897,193567.828125,567322,0.0,0.0
194808.62976866882,196049.44906655845,189018.13971185064,191086.171875,344221,0.0,0.0
192740.61259700664,193154.2190618071,186122.90916019955,186536.515625,505005,0.0,0.0
182814.03923611113,186536.4970486111,182814.03923611113,186122.890625,421667,0.0,0.0
182814.0723721591,187363.7438565341,180746.03987926137,181986.859375,451841,0.0,0.0
178677.98630136988,181986.83789954337,177023.5605022831,181159.625,244115,0.0,0.0
181159.61590095467,181573.2223299523,172473.8808920048,173301.09375,504466,0.0,0.0
173301.09762801204,176609.94913403614,171646.671875,171646.671875,315127,0.0,0.0
173714.7089751185,176609.9541247038,170819.46382553317,174541.921875,355809,0.0,0.0
170405.87156250002,172060.29750000002,165028.987265625,165442.59375,570835,0.0,0.0
167924.2401194853,169165.05962775735,165856.20760569852,168751.453125,322876,0.0,0.0
171233.05441810345,173301.0864762931,167924.203125,167924.203125,296435,0.0,0.0
170405.85546875,173301.1005859375,169992.2490234375,172060.28125,285371,0.0,0.0
171233.0752118644,172473.89459745763,169578.6493644068,170819.46875,175350,0.0,0.0
162547.33113567074,169992.24706554879,162133.72469512196,169578.640625,473826,0.0,0.0
168751.43540669855,173301.10645933013,167924.22248803827,172887.5,277498,0.0,0.0
172060.27446300717,173714.70017899762,169992.2423180191,173301.09375,239174,0.0,0.0
174128.3015018204,174541.9079186893,170405.84375,170405.84375,188379,0.0,0.0
169578.64832535884,173714.71291866028,169578.64832535884,172887.5,184143,0.0,0.0
171646.6816737288,172887.50105932204,169165.04290254237,170819.46875,182247,0.0,0.0
170405.85737559243,174541.921875,169165.03802577013,174541.921875,220640,0.0,0.0
